...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
213,1.05344794018299,0.189255957831332,CO,2023-04-11,1,0,1,1,1,1,1,1,0,0,1,1,1,1
214,0.0396755730587465,0.003718046159664875,CO,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,0.0731855688800179,0.003946398003416295,CO,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,0.929008796934371,0.119458702908927,CO,2023-04-14,0,1,1,1,1,1,1,0,1,0,0,1,0,1
217,0.00584169195128888,0.004457681163834125,CO,2023-04-15,1,1,1,1,1,1,1,1,1,0,1,1,0,1
218,NA,NA,CO,2023-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.950100608592112,0.187146598487221,CO,2023-04-17,1,1,1,1,1,0,1,1,1,0,1,0,0,1
220,0.945742773094871,0.292367530036045,CO,2023-04-18,1,1,0,0,1,1,1,1,1,0,0,1,1,1
221,0.0567853801858342,0.00573715857054825,CO,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,NA,NA,CO,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,1.26304994344185,0.904739848126415,CO,2023-04-21,1,1,0,1,1,0,1,1,1,0,1,1,0,1
