...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
286,1.08721140469697,0.0877279568655505,CT,2022-09-30,1,0,1,1,0,0
287,6.25396500390345,0.234221944168879,CT,2022-10-01,0,0,0,0,0,0
288,3.26573833955127,0.1736311848170555,CT,2022-10-02,0,0,0,1,0,0
289,8.72629643157404,0.203224341047725,CT,2022-10-03,0,0,0,0,0,0
290,1.02384762683185,0.0862619298842505,CT,2022-10-04,1,0,1,0,0,1
291,1.92161891354978,0.171553716151051,CT,2022-10-05,1,0,0,1,0,0
292,4.86652502966272,0.247944781379102,CT,2022-10-06,0,0,0,0,0,0
293,2.99271326502304,0.1445281393920075,CT,2022-10-07,1,0,0,0,0,0
294,1.05274387540786,0.1210785392118235,CT,2022-10-08,1,0,1,0,0,1
295,0.0156790321887912,0.0114889993662016,DC,2022-08-28,1,1,1,1,1,1
296,0.547493992670288,0.0111791199306435,DC,2022-08-29,1,1,1,1,1,1
297,0.290647656170244,0.0828278916367815,DC,2022-08-30,1,1,1,0,1,0
298,0.285144697080837,0.098837173592724,DC,2022-08-31,1,1,1,1,1,1
299,2.47188412843386,0.3091885309405845,DC,2022-09-01,0,1,0,0,1,0
300,0.0517002164175463,0.0100268456794421,DC,2022-09-02,1,1,1,1,1,1
301,0.100358852461221,0.00975897094010005,DC,2022-09-03,1,1,1,1,1,1
302,0.22773743187858,0.0094985938448684,DC,2022-09-04,1,1,1,1,1,1
303,0.0128868655046318,0.00924545336078295,DC,2022-09-05,1,1,1,0,1,0
304,0.631010770159669,0.211570582737796,DC,2022-09-06,1,1,1,1,1,1
305,NA,NA,DC,2022-09-07,NA,NA,NA,NA,NA,NA
306,NA,NA,DC,2022-09-08,NA,NA,NA,NA,NA,NA
307,NA,NA,DC,2022-09-09,NA,NA,NA,NA,NA,NA
308,0.0106554062129663,0.00808010286261005,DC,2022-09-10,1,1,1,1,1,1
309,0.199089398558791,0.007865625511524,DC,2022-09-11,1,1,1,1,1,1
310,0.195467954845735,0.0076568998321838,DC,2022-09-12,1,1,1,1,1,1
311,0.131832238794019,0.0074537520615472,DC,2022-09-13,1,1,1,1,1,1
312,1.03063197394067,0.137799153497489,DC,2022-09-14,1,0,1,1,0,0
313,0.243619508928118,0.00706353242957975,DC,2022-09-15,1,1,1,1,1,1
314,2.59176474862365,0.2849287676175175,DC,2022-09-16,0,1,0,0,1,0
315,0.915544773548821,0.00669371841368825,DC,2022-09-17,1,1,1,0,1,0
316,2.70300998165355,0.439128197687546,DC,2022-09-18,0,0,0,0,0,0
317,0.233072075749701,0.00634315991477465,DC,2022-09-19,1,1,1,0,1,0
318,3.00364072077415,0.657799470306175,DC,2022-09-20,0,0,0,0,0,0
319,0.302686020757306,0.0588197131622245,DC,2022-09-21,1,1,1,0,1,0
320,0.874367382837646,0.2881897582524065,DC,2022-09-22,0,1,0,0,1,0
321,2.22230956581185,0.201633057740149,DC,2022-09-23,0,1,0,0,1,0
322,0.491580113751137,0.127127344384725,DC,2022-09-24,1,1,1,0,1,0
323,1.063049555547,0.1597540457254285,DC,2022-09-25,1,0,1,1,0,0
324,3.53414686513677,0.64653577856615,DC,2022-09-26,0,1,0,0,1,0
325,2.10755726589738,0.1738699276043245,DC,2022-09-27,1,0,0,1,0,0
326,1.18362613743236,0.314692995423335,DC,2022-09-28,1,0,0,1,0,0
327,1.0526734427063,0.137718626516645,DC,2022-09-29,1,0,1,1,0,0
328,1.10252664308998,0.1909305900713105,DC,2022-09-30,1,0,1,1,0,0
329,0.125167753923021,0.00458944125508117,DC,2022-10-01,1,1,1,0,1,0
330,0.448134401694616,0.00446691536770871,DC,2022-10-02,1,1,1,0,1,0
331,1.14578319476653,0.237814218343925,DC,2022-10-03,1,0,0,1,0,0
332,5.15062866055937,0.572245667064395,DC,2022-10-04,0,0,0,0,0,0
333,2.04279661488113,0.60655637769313,DC,2022-10-05,0,0,0,0,0,0
334,2.35351895440966,0.31618771015086,DC,2022-10-06,1,0,0,1,0,0
