...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
278,2.42537625490752e-5,2.05636906690884e-5,CT,2024-03-07,1,1,1,1,1,1,1,1
279,2.8185276246759e-5,1.81192855982136e-5,CT,2024-03-08,1,1,1,1,1,1,1,1
280,NA,NA,CT,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,CT,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,CT,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA
283,NA,NA,CT,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA
284,1.28552012766724e-5,9.68154184048435e-6,CT,2024-03-13,1,1,1,1,1,1,1,1
285,NA,NA,CT,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA
286,1.48916687978404e-5,7.5572883945247e-6,CT,2024-03-15,1,1,1,1,1,1,1,1
287,NA,NA,CT,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,CT,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,CT,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,NA,CT,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,CT,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA
292,6.71751443324323e-6,3.635108334030065e-6,CT,2024-03-21,1,1,1,1,1,1,1,1
293,4.69518903187119e-6,3.22324642034166e-6,CT,2024-03-22,1,1,1,1,1,1,1,1
294,7.22663131713219e-6,2.859518262747435e-6,CT,2024-03-23,1,1,1,1,1,1,1,1
295,NA,NA,DC,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
296,0.00285367805767338,4.65494743656585e-4,DC,2024-02-12,1,1,1,1,1,1,1,1
297,5.5588492627791e-4,4.0801470849131e-4,DC,2024-02-13,1,1,1,1,1,1,1,1
298,NA,NA,DC,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
