...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
142,6.58932158677429,0.397597043713708,AZ,2023-07-03,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
143,4.44134880022597,0.41691283349757,AZ,2023-07-04,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
144,1.2926456220566,0.3849061783745095,AZ,2023-07-05,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
145,1.31068208948636,0.438970407441774,AZ,2023-07-06,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
146,0.605426523149627,0.4334496852558565,AZ,2023-07-07,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
147,1.53826766194018,0.366551036843077,AZ,2023-07-08,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
148,2.1254605877390498,0.360434727517013,AZ,2023-07-09,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
149,3.61039086546907,0.4017918948462,AZ,2023-07-10,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
150,5.43489107269236,0.4261874890447255,AZ,2023-07-11,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
151,5.46487668898779,0.4337727664864155,AZ,2023-07-12,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
152,5.12412150540427,0.460854974102594,AZ,2023-07-13,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
153,1.33959314019105,0.413332199606868,AZ,2023-07-14,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
154,2.10816760456751,0.439392856862482,AZ,2023-07-15,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0
155,3.66931275858021,0.4022205649453465,AZ,2023-07-16,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0
156,8.26390607763208,0.4410254222969165,AZ,2023-07-17,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0
157,3.64484080715447,0.426333171119834,AZ,2023-07-18,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0
158,4.61576005884197,0.4337780087448775,AZ,2023-07-19,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0
159,1.04688582312358,0.387367175150448,AZ,2023-07-20,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1
160,1.20353925943869,0.294932315658965,AZ,2023-07-21,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
161,2.08296957535693,0.4454773890746765,AZ,2023-07-22,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
162,0.54218838483179,0.3303025601313125,AZ,2023-07-23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
163,6.35414843261058,0.429511781174372,AZ,2023-07-24,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0
164,6.69682864954381,0.4589029511159215,AZ,2023-07-25,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0
165,2.6400663716522,0.4354945233467065,AZ,2023-07-26,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0
166,2.21725371495619,0.483130165201165,AZ,2023-07-27,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
167,1.52834421106282,0.457015447604061,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
168,0.929512466279986,0.4299907439988085,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
169,0.615685864670889,0.4348497178689085,CA,2023-06-18,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
170,2.26373139697262,0.3665633137845825,CA,2023-06-19,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0
171,2.50523232271052,0.383035885506109,CA,2023-06-20,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0
