...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
141,4.29948398521901,0.4042056021229925,AZ,2023-07-09,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
142,2.19327471946606,0.3849728240479405,AZ,2023-07-10,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
143,2.77265882881551,0.3893606927702425,AZ,2023-07-11,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
144,1.91949517089345,0.3738161842385275,AZ,2023-07-12,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
145,2.63296137441124,0.3564670714147495,AZ,2023-07-13,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
146,0.991907187524482,0.3868625020092305,AZ,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
147,2.07597934635385,0.4328645705517285,AZ,2023-07-15,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
148,1.68135939124169,0.3513210080745775,AZ,2023-07-16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
149,3.57015521829083,0.387279544805189,AZ,2023-07-17,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
150,2.23225172817966,0.399527387495216,AZ,2023-07-18,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0
151,2.16347616325454,0.3621358970884915,AZ,2023-07-19,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
152,1.1820981568643,0.3997443358779795,AZ,2023-07-20,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
153,1.67813246177103,0.3793948886186295,AZ,2023-07-21,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
154,1.25586236598021,0.347769979929289,AZ,2023-07-22,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
155,0.80451068121457,0.4197444320823655,AZ,2023-07-23,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
156,3.77792870272551,0.402050993962339,AZ,2023-07-24,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
157,3.7479217774403,0.425816743862514,AZ,2023-07-25,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
158,2.08558015022122,0.421620800746026,AZ,2023-07-26,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
159,1.37872147322979,0.4395517651737025,AZ,2023-07-27,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
160,0.839994451674992,0.351639106070181,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
161,0.625643147777241,0.363383209967372,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
162,7.16302556284649,0.4349105253278395,AZ,2023-07-30,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
163,2.98206429622702,0.4258728891463895,AZ,2023-07-31,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
164,1.91569155812014,0.382419167313343,AZ,2023-08-01,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1
165,3.29018658027043,0.394381627884215,AZ,2023-08-02,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1
166,2.45316326084576,0.3840554092428745,AZ,2023-08-03,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1
167,0.798946299895865,0.400564093594431,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
168,1.87841078906539,0.373189075892938,AZ,2023-08-05,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1
169,1.08721564705028,0.337899971274292,CA,2023-06-25,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
170,2.08133396488977,0.4049075702784075,CA,2023-06-26,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
171,1.30827513277402,0.354836205758666,CA,2023-06-27,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
172,2.24027655217753,0.4102036078637985,CA,2023-06-28,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
173,3.25338923617717,0.4107419523331175,CA,2023-06-29,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
174,1.68274454898096,0.382424964579259,CA,2023-06-30,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
175,1.17447814450827,0.4047387315601,CA,2023-07-01,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
176,2.08155926971805,0.427305208642179,CA,2023-07-02,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1
177,2.77600248148386,0.409291491830633,CA,2023-07-03,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
