...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
180,11.5229029798133,0.306864441510878,CA,2023-02-02,0,0,0,1,1,0,0,0,0,0,0,0
181,7.63021982636297,0.2798858168317505,CA,2023-02-03,0,0,1,1,1,0,0,0,0,0,0,0
182,5.33581701658121,0.29579392815373,CA,2023-02-04,0,1,1,0,1,0,0,0,0,0,0,0
183,10.4550748516405,0.2923045078078775,CA,2023-02-05,0,1,1,0,0,1,0,0,0,0,1,0
184,3.26563309701306,0.246619227536132,CA,2023-02-06,0,1,1,1,0,1,0,0,0,0,0,0
185,13.1264263157428,0.3009606815660855,CA,2023-02-07,0,1,1,0,1,0,0,0,0,0,0,0
186,4.57875121375645,0.244509522407397,CA,2023-02-08,0,1,0,1,1,1,0,0,0,0,0,0
187,8.37298822781534,0.2509562002693915,CA,2023-02-09,1,0,1,0,1,0,0,0,1,0,1,0
188,8.22604849860007,0.2611226147504395,CA,2023-02-10,0,1,0,0,1,0,0,0,0,1,1,1
189,8.85203316284163,0.292989611618492,CA,2023-02-11,0,0,1,0,1,0,0,0,0,0,0,0
190,5.18807737753344,0.1927026877879635,CA,2023-02-12,0,0,1,1,1,0,0,0,1,0,0,0
191,6.77852668212042,0.158510714287632,CA,2023-02-13,0,0,0,0,1,0,0,0,1,0,1,0
192,2.45971217499686,0.154546086065178,CA,2023-02-14,1,1,1,0,1,1,1,0,0,0,1,1
193,17.1901003952795,0.2239521887120365,CA,2023-02-15,0,0,0,0,0,0,0,0,0,0,0,0
194,21.0476895143009,0.228234548705632,CA,2023-02-16,0,0,1,0,1,0,0,0,0,0,0,0
195,6.77520082504658,0.2224750322969705,CA,2023-02-17,1,0,0,0,1,0,1,0,0,0,1,0
196,4.21043155567421,0.209061066325001,CA,2023-02-18,0,0,1,0,1,0,0,1,0,0,1,0
197,2.33616200067171,0.1656696908086095,CA,2023-02-19,1,1,0,1,1,1,1,0,0,0,1,0
198,1.5859144493297,0.143373245471539,CA,2023-02-20,1,1,1,1,1,0,1,0,0,0,1,0
199,5.69038051193577,0.1870109152913835,CA,2023-02-21,1,0,1,0,1,0,1,0,0,0,0,1
200,7.46122292914343,0.172276468755076,CA,2023-02-22,0,1,0,0,1,0,0,0,0,0,0,0
201,20.4261766137458,0.191976741718855,CA,2023-02-23,0,0,1,0,0,0,0,0,1,0,0,0
202,4.03719472889861,0.1192064862100475,CA,2023-02-24,0,1,1,0,0,0,0,0,1,0,0,0
203,11.4706964671036,0.2515575288071525,CA,2023-02-25,0,0,1,0,1,0,0,0,0,0,0,0
204,2.96246717600839,0.150521853619456,CA,2023-02-26,1,0,0,0,1,1,1,0,1,0,0,1
205,15.4744943090631,0.2025007888032415,CA,2023-02-27,1,0,1,0,1,0,1,0,0,0,1,0
206,15.5344325268109,0.179607967050351,CA,2023-02-28,1,0,1,0,1,0,1,0,0,0,1,0
207,20.9030445639863,0.163062724448397,CA,2023-03-01,1,0,0,0,1,0,1,0,0,0,0,0
208,16.1014031572092,0.144608173159239,CA,2023-03-02,1,0,1,0,1,0,1,0,0,0,1,0
209,21.9613804472509,0.161865547868672,CA,2023-03-03,0,0,0,0,1,0,0,0,1,0,0,0
210,11.207657379198,0.13552725453002,CA,2023-03-04,0,1,0,0,1,0,0,1,0,0,0,0
211,NA,NA,CO,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1.26684456033079,0.221013806131582,CO,2023-01-23,1,1,1,0,1,1,1,1,0,0,1,1
213,1.16596966544427,0.3965075332627545,CO,2023-01-24,1,1,1,0,1,0,1,0,1,0,1,0
214,2.0647467120724,0.2833365373352305,CO,2023-01-25,0,0,0,1,1,1,0,0,1,1,1,1
215,1.04078302320409,0.360846993915846,CO,2023-01-26,1,1,1,1,1,0,1,1,1,1,0,0
216,1.0094250931777,0.24324321209986,CO,2023-01-27,1,1,1,1,1,1,0,0,1,0,1,1
217,0.852272524363617,0.184523801552175,CO,2023-01-28,1,1,1,1,1,1,1,1,1,0,0,1
218,0.348064543083624,0.289847457077909,CO,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,1
219,2.0062709598047,0.1215912748841625,CO,2023-01-30,1,0,1,0,1,1,1,1,1,1,1,1
220,3.35226467404022,0.072492880692352,CO,2023-01-31,1,0,1,0,1,1,1,0,1,0,1,1
221,1.04392414443382,0.1571661986456385,CO,2023-02-01,1,1,1,1,1,1,1,0,1,0,1,1
222,2.34752175480435,0.362456623967811,CO,2023-02-02,1,1,1,0,1,0,1,1,1,0,1,0
223,1.00396569581743,0.1790974752189745,CO,2023-02-03,1,1,0,1,1,1,1,1,1,1,1,1
224,1.11432302659551,0.3389502048159135,CO,2023-02-04,1,0,1,0,1,1,1,0,1,0,1,1
225,0.527728354388832,0.03605982008083765,CO,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
226,0.891094938220445,0.1926638323708125,CO,2023-02-06,0,1,1,1,1,1,0,1,0,1,1,1
227,0.898734982814157,0.195586359310512,CO,2023-02-07,1,1,1,1,1,1,1,0,1,0,0,1
228,2.04452396220878,0.277406184295776,CO,2023-02-08,1,1,1,0,0,1,1,1,1,0,0,1
229,0.0316253931666164,0.01963845829311485,CO,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
230,0.322819463572048,0.1406010944142935,CO,2023-02-10,1,1,1,1,1,1,1,0,0,1,1,1
231,0.507855098458521,0.20496867944188,CO,2023-02-11,1,1,1,1,1,1,1,0,1,0,1,1
232,0.230288276853852,0.01218099920253005,CO,2023-02-12,1,1,1,1,1,1,1,0,1,0,1,1
233,1.45961746693717,0.186925250245164,CO,2023-02-13,0,1,0,1,1,1,0,0,0,1,1,1
234,0.310912350914793,0.099240561365491,CO,2023-02-14,1,1,1,1,1,1,0,0,1,1,1,1
235,0.472398094858334,0.14559272591768949,CO,2023-02-15,1,1,1,1,1,1,1,0,1,0,1,1
236,0.851835222841682,0.109291290014677,CO,2023-02-16,1,1,1,1,0,1,1,1,1,0,0,1
237,1.27158180905252,0.2023745036981675,CO,2023-02-17,0,1,1,0,1,1,0,1,1,0,1,1
238,0.459249132297342,0.112880510540526,CO,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
239,0.806898010738939,0.22326718779999,CO,2023-02-19,1,0,1,1,1,1,1,0,1,0,1,1
240,1.27482115045583,0.1511841962623545,CO,2023-02-20,1,0,1,0,1,1,1,0,1,0,1,1
241,0.339155531299429,0.0587693255048265,CO,2023-02-21,1,1,1,1,1,1,1,0,1,0,1,1
242,1.05387841920008,0.159391456439166,CO,2023-02-22,1,1,0,1,1,1,1,0,0,1,1,1
243,0.0973235906688603,0.00191323885697809,CO,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
244,0.174565925972124,0.00160921555783465,CO,2023-02-24,1,1,1,1,1,1,1,1,1,1,1,1
245,0.0322201083245811,0.001352875904847565,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1
246,0.0309166132562125,0.00113690957236243,CO,2023-02-26,1,1,1,1,1,1,1,1,1,1,1,1
247,0.531023698028284,0.063550448228939,CO,2023-02-27,1,1,1,1,1,1,1,0,1,0,1,1
248,2.49660562968721,0.1686589635363035,CO,2023-02-28,1,0,0,0,1,1,1,0,0,0,1,1
